,m_id,m_Label,m_TypeID,m_DisplayLevel,m_BreakRate,m_MaxSLD,m_MaxHP,m_MaxSP,m_AtkP,m_DefP,m_AtkM,m_DefM,m_Agi,m_Crt,m_CrtDef,m_EquipAtk,m_ResistAilmentID,m_ResistAilment,m_TacticalAssignID,m_SkillsID,m_Exp,m_Money,m_DropReward,m_EventDropRewards,m_StatusOffset,m_Bottle,m_Name,m_Level,m_Hp,m_Shield,m_RaceIndices,m_DisplaySpecialSkillGauge,m_GenerateSpecialSkillValueOrverTurn,m_ReduceSpecialSkillValueBreak,m_MaxSpecialSkillValue
14,14,Forest_Enemy_03_002,109,9,200,2,180,18,118,20,118,17,83,80,130,18,0,m_ResistAilment_v_0,3,18,9,69,14,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000200da001a,194,0,0,0.0
15,15,Forest_Enemy_03_003,110,9,200,2,190,18,130,17,130,13,85,55,130,18,0,m_ResistAilment_v_0,3,19,10,63,15,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000500da001a,194,0,0,0.0
16,16,Forest_Enemy_03_004,111,9,200,2,198,18,118,19,118,16,84,70,130,18,0,m_ResistAilment_v_0,3,20,10,68,16,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000100da001a,194,0,0,0.0
17,17,Forest_Enemy_04a_001,112,12,200,3,245,24,133,19,133,15,94,73,138,26,0,m_ResistAilment_v_0,3,23,13,94,17,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000900da001a,194,0,0,0.0
18,18,Forest_Enemy_04a_002,113,12,200,3,245,24,139,20,139,16,91,60,138,26,0,m_ResistAilment_v_0,3,24,17,84,18,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000a00da001a,194,0,0,0.0
19,19,Forest_Enemy_04a_003,114,12,200,3,233,24,126,24,126,20,89,86,138,26,0,m_ResistAilment_v_0,3,25,15,92,19,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
20,20,Forest_Enemy_04a_004,115,12,200,3,245,24,139,20,139,16,91,60,138,26,0,m_ResistAilment_v_0,3,26,17,84,20,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000c00da001a,194,0,0,0.0
21,21,Forest_Enemy_04b_001,112,12,200,3,245,24,133,19,133,15,94,73,138,26,0,m_ResistAilment_v_0,3,28,13,94,21,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000900da001a,194,0,0,0.0
22,22,Forest_Enemy_04b_002,113,12,200,3,245,24,139,20,139,16,91,60,138,26,0,m_ResistAilment_v_0,3,29,17,84,22,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000a00da001a,194,0,0,0.0
23,23,Forest_Enemy_04b_003,114,12,200,3,233,24,126,24,126,20,89,86,138,26,0,m_ResistAilment_v_0,3,30,15,92,23,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
24,24,Forest_Enemy_04b_004,115,12,200,3,245,24,139,20,139,16,91,60,138,26,0,m_ResistAilment_v_0,3,31,17,84,24,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000c00da001a,194,0,0,0.0
25,25,Forest_Enemy_06a_001,116,18,200,4,410,36,135,33,135,29,96,82,152,36,0,m_ResistAilment_v_0,3,33,24,144,25,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000d00da001a,194,0,0,0.0
26,26,Forest_Enemy_06a_002,117,18,200,3,347,36,142,30,142,26,100,97,152,36,0,m_ResistAilment_v_0,8,34,30,137,26,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
27,27,Forest_Enemy_06a_003,118,18,200,4,410,36,135,33,135,29,96,82,152,36,0,m_ResistAilment_v_0,3,35,24,144,27,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000d00da001a,194,0,0,0.0
28,28,Forest_Enemy_06a_004,119,18,200,3,378,36,142,29,142,25,101,85,152,36,0,m_ResistAilment_v_0,3,36,32,135,28,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000e00da001a,194,0,0,0.0
29,29,Forest_Enemy_06b_001,116,18,200,4,410,36,135,33,135,29,96,82,152,36,0,m_ResistAilment_v_0,3,39,24,144,29,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000d00da001a,194,0,0,0.0
30,30,Forest_Enemy_06b_002,117,18,200,3,347,36,142,30,142,26,100,97,152,36,0,m_ResistAilment_v_0,8,40,30,137,30,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
31,31,Forest_Enemy_06b_003,118,18,200,4,410,36,135,33,135,29,96,82,152,36,0,m_ResistAilment_v_0,3,41,24,144,31,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000d00da001a,194,0,0,0.0
32,32,Forest_Enemy_06b_004,119,18,200,3,378,36,142,29,142,25,101,85,152,36,0,m_ResistAilment_v_0,3,42,32,135,32,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000e00da001a,194,0,0,0.0
33,33,Forest_Enemy_05_001,120,16,200,2,357,32,151,24,151,20,99,66,148,32,0,m_ResistAilment_v_0,3,45,33,105,33,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000f00da001a,194,0,0,0.0
34,34,Forest_Enemy_05_002,121,16,200,2,357,32,151,24,151,20,99,66,148,32,0,m_ResistAilment_v_0,3,46,33,105,34,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000f00da001a,194,0,0,0.0
35,35,Forest_Enemy_05_003,122,16,200,3,371,32,138,27,138,23,98,82,148,32,0,m_ResistAilment_v_0,3,47,32,113,35,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000e00da001a,194,0,0,0.0
36,36,Forest_Enemy_05_004,123,16,200,3,350,32,138,27,138,23,95,94,148,32,0,m_ResistAilment_v_0,3,48,29,119,36,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001000da001a,194,0,0,0.0
37,37,Snow_Enemy_01a_001,124,1,200,2,87,2,104,7,104,4,72,53,110,10,0,m_ResistAilment_v_0,2,50,3,20,37,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001100da001a,194,0,0,0.0
38,38,Snow_Enemy_01a_002,125,1,200,2,96,2,93,12,93,9,65,60,110,10,0,m_ResistAilment_v_0,3,51,4,19,38,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001200da001a,194,0,0,0.0
39,39,Snow_Enemy_01a_003,126,1,200,2,82,2,99,11,99,8,68,65,110,10,0,m_ResistAilment_v_0,2,52,3,19,39,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
40,40,Snow_Enemy_01a_004,127,1,200,2,91,2,99,10,99,7,69,56,110,10,0,m_ResistAilment_v_0,3,53,4,19,40,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000e00da001a,194,0,0,0.0
41,41,Snow_Enemy_01b_001,124,1,200,2,87,2,104,7,104,4,72,53,110,10,0,m_ResistAilment_v_0,2,55,3,20,41,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001100da001a,194,0,0,0.0
42,42,Snow_Enemy_01b_002,125,1,200,2,96,2,93,12,93,9,65,60,110,10,0,m_ResistAilment_v_0,3,56,4,19,42,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001200da001a,194,0,0,0.0
43,43,Snow_Enemy_01b_003,126,1,200,2,82,2,99,11,99,8,68,65,110,10,0,m_ResistAilment_v_0,2,57,3,19,43,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
44,44,Snow_Enemy_01b_004,127,1,200,2,91,2,99,10,99,7,69,56,110,10,0,m_ResistAilment_v_0,3,58,4,19,44,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000e00da001a,194,0,0,0.0
45,45,Snow_Enemy_02_001,128,7,200,2,186,14,124,14,124,11,81,52,124,16,0,m_ResistAilment_v_0,3,60,9,49,45,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001300da001a,194,0,0,0.0
46,46,Snow_Enemy_02_002,129,7,200,2,176,14,112,18,112,14,78,76,124,16,0,m_ResistAilment_v_0,8,61,8,54,46,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000100da001a,194,0,0,0.0
47,47,Snow_Enemy_02_003,130,7,200,2,212,14,106,20,106,17,75,63,124,16,0,m_ResistAilment_v_0,2,62,7,56,47,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001400da001a,194,0,0,0.0
48,48,Snow_Enemy_02_004,131,7,200,2,186,14,118,13,118,10,83,63,124,16,0,m_ResistAilment_v_0,8,63,7,55,48,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001500da001a,194,0,0,0.0
49,49,Snow_Enemy_03_001,132,9,200,2,180,18,118,20,118,17,83,80,130,18,0,m_ResistAilment_v_0,3,66,9,69,49,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000100da001a,194,0,0,0.0
50,50,Snow_Enemy_03_002,133,9,200,2,208,18,112,22,112,18,80,74,130,18,0,m_ResistAilment_v_0,3,67,10,69,50,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000400da001a,194,0,0,0.0
51,51,Snow_Enemy_03_003,134,9,200,2,190,18,124,16,124,12,88,67,130,18,0,m_ResistAilment_v_0,8,68,8,71,51,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001600da001a,194,0,0,0.0
52,52,Snow_Enemy_03_004,135,9,200,2,190,18,130,17,130,13,85,55,130,18,0,m_ResistAilment_v_0,3,69,10,63,52,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001300da001a,194,0,0,0.0
53,53,Snow_Enemy_04a_001,136,12,200,3,245,24,133,19,133,15,94,73,138,26,0,m_ResistAilment_v_0,3,72,13,94,53,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001500da001a,194,0,0,0.0
54,54,Snow_Enemy_04a_002,137,12,200,3,255,24,126,23,126,19,90,75,138,26,0,m_ResistAilment_v_0,8,73,16,90,54,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000e00da001a,194,0,0,0.0
55,55,Snow_Enemy_04a_003,138,12,200,3,233,24,126,24,126,20,89,86,138,26,0,m_ResistAilment_v_0,3,74,15,92,55,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
56,56,Snow_Enemy_04a_004,139,12,200,3,245,24,139,20,139,16,91,60,138,26,0,m_ResistAilment_v_0,3,75,17,84,56,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000c00da001a,194,0,0,0.0
57,57,Snow_Enemy_04b_001,136,12,200,3,245,24,133,19,133,15,94,73,138,26,0,m_ResistAilment_v_0,3,78,13,94,57,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001500da001a,194,0,0,0.0
58,58,Snow_Enemy_04b_002,137,12,200,3,255,24,126,23,126,19,90,75,138,26,0,m_ResistAilment_v_0,8,79,16,90,58,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000e00da001a,194,0,0,0.0
59,59,Snow_Enemy_04b_003,138,12,200,3,233,24,126,24,126,20,89,86,138,26,0,m_ResistAilment_v_0,3,80,15,92,59,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
60,60,Snow_Enemy_04b_004,139,12,200,3,245,24,139,20,139,16,91,60,138,26,0,m_ResistAilment_v_0,3,81,17,84,60,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000c00da001a,194,0,0,0.0
61,61,Snow_Enemy_06a_001,140,18,200,4,410,36,135,33,135,29,96,82,152,36,0,m_ResistAilment_v_0,6,84,24,144,61,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001700da001a,194,0,0,0.0
62,62,Snow_Enemy_06a_002,141,18,200,3,396,36,135,32,135,28,97,90,152,36,0,m_ResistAilment_v_0,3,85,32,137,62,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001200da001a,194,0,0,0.0
63,63,Snow_Enemy_06a_003,142,18,200,3,347,36,142,30,142,26,100,97,152,36,0,m_ResistAilment_v_0,3,86,30,137,63,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
64,64,Snow_Enemy_06a_004,143,18,200,2,364,36,155,26,155,22,102,69,152,36,0,m_ResistAilment_v_0,3,87,33,126,64,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000c00da001a,194,0,0,0.0
65,65,Snow_Enemy_06b_001,140,18,200,4,410,36,135,33,135,29,96,82,152,36,0,m_ResistAilment_v_0,6,90,24,144,65,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001700da001a,194,0,0,0.0
66,66,Snow_Enemy_06b_002,141,18,200,3,396,36,135,32,135,28,97,90,152,36,0,m_ResistAilment_v_0,3,91,32,137,66,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001200da001a,194,0,0,0.0
67,67,Snow_Enemy_06b_003,142,18,200,3,347,36,142,30,142,26,100,97,152,36,0,m_ResistAilment_v_0,3,92,30,137,67,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
68,68,Snow_Enemy_06b_004,143,18,200,2,364,36,155,26,155,22,102,69,152,36,0,m_ResistAilment_v_0,3,93,33,126,68,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000c00da001a,194,0,0,0.0
69,69,Snow_Enemy_05a_001,144,16,200,3,403,32,131,31,131,27,93,79,148,32,0,m_ResistAilment_v_0,2,96,24,120,69,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001400da001a,194,0,0,0.0
70,70,Snow_Enemy_05a_002,145,16,200,3,350,32,138,27,138,23,95,94,148,32,0,m_ResistAilment_v_0,6,97,29,119,70,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001000da001a,194,0,0,0.0
71,71,Snow_Enemy_05a_003,146,16,200,2,357,32,151,24,151,20,99,66,148,32,0,m_ResistAilment_v_0,3,98,33,105,71,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001300da001a,194,0,0,0.0
72,72,Snow_Enemy_05a_004,147,16,200,2,357,32,144,23,144,19,102,79,148,32,0,m_ResistAilment_v_0,3,99,26,117,72,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001100da001a,194,0,0,0.0
73,73,Snow_Enemy_05b_001,144,12,200,3,278,24,120,26,120,23,85,73,138,26,0,m_ResistAilment_v_0,2,101,12,96,73,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001400da001a,194,0,0,0.0
74,74,Snow_Enemy_05b_002,145,12,200,3,240,24,126,23,126,19,88,86,138,26,0,m_ResistAilment_v_0,6,102,15,95,74,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001000da001a,194,0,0,0.0
75,75,Snow_Enemy_05b_003,146,12,200,2,245,24,139,20,139,16,91,60,138,26,0,m_ResistAilment_v_0,3,103,17,84,75,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001300da001a,194,0,0,0.0
76,76,Snow_Enemy_05b_004,147,12,200,2,245,24,133,19,133,15,94,73,138,26,0,m_ResistAilment_v_0,3,104,13,94,76,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001100da001a,194,0,0,0.0
77,77,Plain_Enemy_01a_001,148,1,200,2,87,2,104,7,104,4,72,53,110,10,0,m_ResistAilment_v_0,2,106,5,20,77,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001800da001a,194,0,0,0.0
78,78,Plain_Enemy_01a_002,149,1,200,2,82,2,99,11,99,8,68,65,110,10,0,m_ResistAilment_v_0,3,107,5,19,78,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
79,79,Plain_Enemy_01a_003,150,1,200,2,100,2,93,13,93,10,64,53,110,10,0,m_ResistAilment_v_0,2,108,6,20,79,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001800da001a,194,0,0,0.0
80,80,Plain_Enemy_01a_004,151,1,200,2,87,2,110,8,110,5,70,43,110,10,0,m_ResistAilment_v_0,3,109,6,18,80,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001800da001a,194,0,0,0.0
81,81,Plain_Enemy_01b_001,148,1,200,2,87,2,104,7,104,4,72,53,110,10,0,m_ResistAilment_v_0,2,111,5,20,81,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001800da001a,194,0,0,0.0
82,82,Plain_Enemy_01b_002,149,1,200,2,82,2,99,11,99,8,68,65,110,10,0,m_ResistAilment_v_0,3,112,5,19,82,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000b00da001a,194,0,0,0.0
83,83,Plain_Enemy_01b_003,150,1,200,2,100,2,93,13,93,10,64,53,110,10,0,m_ResistAilment_v_0,2,113,6,20,83,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001800da001a,194,0,0,0.0
84,84,Plain_Enemy_01b_004,151,1,200,2,87,2,110,8,110,5,70,43,110,10,0,m_ResistAilment_v_0,3,114,6,18,84,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93001800da001a,194,0,0,0.0
